Drugname	Unit Cost	Quantity	
Abacavir TOO mq tablet	14.18	"918,000"	
Albendazole 400 mq chewable tablet	0.92	"47,856,300"	
Amlodipine 50 mq tablet	0.10	"3,000,000"	
"Anti-Rabies Serum (Equine) 200 IU/mL, 5 mL vial"	118.99	"330,021"	
Ascorbic Acid 500 mq tablet	0.50	"1,000,000"	
"Asparaqinase 10,000 IU vial"	835.30	"4,785"	
Biperiden 2 mq tablet	3.40	"4,000,000"	
Capecitabine 500 mq tablet	16.50	"320,500"	
Carbamazepine 200 mq tablet	1.50	"3,000,000"	
"Carboplatin 10 mq/mL, 15 mL vial"	398.00	"3,400"	
"Carboplatin 10 mq/mL, 45 mL vial"	997.89	"10,100"	
Ceftriaxone 1q vial + 10 mL diluent	21.50	"62,150"	
Cefuroxime 500 mq tablet	10.88	"100,000"	
"Cetirizine 1mq/mL, 60 mL bottle"	26.97	"14,400"	
Cetirizine 10 mq tablet	0.31	"100,000"	
"Chick Embryo Cell (purified) Rabies Vaccine lyophilized powder, 2.5 IU /0.5 mL, vial + diluent"	62.78	"500,000"	
Chlorpromazine 200 mq tablet	1.97	"3,000,000"	
"Cisplatin 1 mq/mL, 50 mL vial"	218.08	"6,500"	
Clindammycin 300 mq tablet	6.80	"25,000"	
Clonidine 75 mcq tablet	3.98	"50,000"	
Cloxacillin 500 mq capsule	3.52	"25,000"	
Clozapine 100 mq tablet	4.00	"3,000,000"	
"Co-AmoxicIav(Amoxicillin + Potassium Clavulanate) 200 mq + 28.5 mq/5 mL,70 mL"	190.00	"10,000"	
"Cytarabine 100 mq/mL, 5 mL vial"	525.00	"10,900"	
Daclatasvir 60 mq tablet	51.10	"196,000"	
"Diphenhydramine 50 mq/mL, 1 mL ampule"	5.59	"321,200"	
Divalproex Sodium 250 mq ER tablet	7.35	"1,200,000"	
"Docetaxel 20 mq/mL, 1mL"	238.34	"15,000"	
"Docetaxel 80 mq/4 mL, 4 mL"	555.24	"64,000"	
