"A.2  Bacille Calmette-Guerin (BCG) Vaccine, Oral Polio Vaccine (OPV), DPT-HiB-HepB Vaccine, and Measles Mumps Rubella (MMR) Vaccine"																					
Area	BCG		OPV 3	DPT-HiB-HepB	MMR 2																
	0-28 days	29 days to 1 year	0-12 months old	0-12 months old	0-12 months old																
PHILIPPINES	"315,937"	"15,655"	"458,983"	557724	"386,257"																
NCR	"50,823"	"1,817"	"58,170"	"63,911"	"54,054"																
CAR	"5,025"	241	"6,787"	"7,704"	"5,447"																
Region 1	"12,538"	101	"22,115"	"23,470"	"10,590"																
Region 2	"9,059"	576	"14,044"	"14,380"	"11,188"																
Region 3	"25,660"	0	"54,196"	"66,537"	47002																
Reglon 4A	"49,326"	0	"69,865"	"81,277"	"57,472"																
Region 4B	"9,282"	"1,299"	"13,608"	"18,368"	"11,830"																
Region 5	"17,506"	"1,288"	"26,553"	"43,964"	"20,267"																
Region 6	"9,359"	44	"16,898"	"19,840"	14961																
Region 7	"18,242"	"2,328"	"26,645"	"36,316"	"22,889"																
Region 8	"13,186"	0	"17,404"	"30,320"	"15,620"																
Region 9	"9,427"	1195	"17,524"	"19,860"	14186																
Region 10	"12,515"	2024	"23,369"	"32,153"	19362																
Region 11	"17,577"	836	"21,320"	"25,142"	"17,251"																
Region 12	"14,363"	224	"16,515"	"17,048"	"15,992"																
Caraga	"7,417"	"2,120"	"11,676"	"14,969"	"10,588"																
BARMM	"22,079"	864	"23,737"	"22,082"	"21,126"																
NIR	"12,553"	698	"18,557"	"20,383"	"16,432"																
																					
																					
																					
																					
																					
																					
