Annex A. Child Care Immunization (1st Quarter of 2025}																					
A.1  Fully Immunized Children (FIC) and Completely Immunized Children CIC)																					
Area	"Projected
Pop*"	No. of FIC	%	Projected Pop*	No. of  CIC	%															
PHILIPPINES	"2,392,382"	"365,425"	15.27	"840,855"	"49,189"	5.85															
NCR	"285,798"	"53,259"	18.64	"60,578"	"7,537"	12.44															
CAR	"34,199"	"5,286"	15.46	"11,531"	372	3.23															
Region 1	"104,281"	"17,870"	17.14	"25,963"	345	1.33															
Region 2	"69,664"	"11,083"	15.91	"20,601"	261	1.27															
Region 3	"256,011"	46050	17.99	"61,332"	3604	5.88															
Region 4A	"337,182"	"49,599"	14.71	"132,730"	"10,511"	7.92															
Region 4B	"72,212"	"10,055"	13.92	"29,700"	"1,863"	6.27															
Region 5	"148,559"	"16,889"	11.37	"77,489"	"6,025"	7.78															
Region 6	"92,499"	14573	15.75	"28,634"	583	2.04															
Region 7	"148,019"	"21,820"	14.74	"54,456"	"2,416"	4.44															
Region 8	"101,678"	"11,530"	11.34	"53,013"	"3,680"	6.94															
Region 9	"92,714"	13830	14.92	"33,878"	1814	5.35															
Region 10	"119,709"	17370	14.51	"43,724"	3012	6.89															
Region 11	"117,243"	"16,116"	13.75	"45,964"	"2,050"	4.46															
Region 12	103.515	"15,155"	14.64	"36,948"	"1,007"	2.73															
Caraga	"60,237"	"10,211"	16.95	"12,098"	547	4.52															
BARMM	"147,247"	"20,240"	13.75	"71,146"	"1,452"	2.04															
NIR	"101,625"	14489	14.26	"41,070"	2110	5.14															
"? - 0-12 months old (previous cohort)
?  - 0-12 months (previous cohort) minus previous F/C"																					
																					
																					
																					
																					
																					
																					
