"Table A.1. Bacille Calmette-Guerin (BCG) Vaccine, Oral Polio Vaccine (OPV), DPT-HiB-HepB Vaccine, and Measles Mumps Rubella (MMR) Vaccine, as of Q2 2025"																			
Area	BCG		OPV 3	DPT-HiB-HepB 3	MMR 2														
	0-28 days	29 days to 1 year	0-12 months old	0-12 months old	0-12 months old														
PHILIPPINES	"605,645"	"37,330"	"858,931"	"996,842"	"766,305"														
NCR	"100,584"	"4,472"	"113,072"	"118,753"	"110,803"														
CAR	"9,632"	477	"11,780"	"13,178"	"14,117"														
Region 1	"26,023"	111	"38,838"	"40,643"	"22,534"														
Region 2	"17,902"	"1,476"	"25,805"	"26,070"	"21,509"														
Region 3	48317	0	98923	116627	92205														
Region 4A	"90,594"	0	"120,214"	"139,585"	"106,844"														
Region 4B	"17,371"	"2,198"	"25,187"	"32,384"	"22,708"														
Region 5	"33,752"	"4,536"	"52,951"	"76,764"	42 275														
Region 6	18111	683	31448	34794	28719														
Region 7	"34,059"	"4,106"	"48,995"	"59,729"	"43,030"														
Region 8	"25,649"	795	"34,772"	"52,382"	"29,226"														
Region 9	19081	2465	31457	35237	27903														
Region 10	25187	4614	46864	59739	40516														
Region 11	"33,683"	"1,578"	"40,589"	"45,356"	"34,384"														
Region 12	"27,558"	739	"32,752"	"32,637"	"32,091"														
Caraga	"13,122"	"4,402"	"21,404"	"28,738"	"20,866"														
BARMM	"43,278"	"3,638"	"49,128"	"47,169"	"45,421"														
NIR	"21,742"	"1,040"	"34,752"	"37,057"	"31,154"														
