Annex A. Child Care Immunization																			
A. Fully Immunized Children (FICg and Completely Immunized Children CICS as of Q2 2025																			
Area	Projected Pop*	No. of FIC	%	Projected Pop*	No. of CIC	%													
PHILIPPINES	"2,392,392"	"733,467"	30.66%	"840,855"	"85,185"	10.13%													
NCR	"285,798"	"110,059"	38.51%	"60,578"	"11,942"	19.71%													
CAR	"34,199"	"10,183"	29.78%	"11,531"	720	6.24%													
Region 1	"104,281"	"35,384"	33.93%	25.963	527	2.03%													
Region 2	"69,664"	"21,364"	30.67%	"20,601"	424	2.06%													
Region 3	"256,011"	90742	35.44%	"61,332"	5812	9.48%													
Region 4A	"337,182"	"94,422"	28.00%	"132,730"	"17,560"	13.23%													
Region 4B	"72,212"	"20,086"	27.82%	"29,700"	"3,176"	10.69%													
Region 5	"148,559"	"38,047"	25.61%	"77,489"	"10,019"	12.93%													
Region 6	"92,499"	28203	30.49%	"28,634"	971	3.39%													
Region 7	"148,019"	"41,509"	28.04%	"54,456"	"4,028"	7.40%													
Region 8	"101,678"	"23,242"	22.86%	"53,013"	"6,784"	12.80%													
Region 9	"92,714"	27404	29.56%	"33,878"	2973	8.78%													
Region 10	"119,709"	37884	31.65%	"43,724"	6031	13.79%													
Region 11	"117,243"	"32,392"	27.63%	"45,964"	"3,658"	7.96%													
Region 12	"103,515"	"30,586"	29.55%	"36,948"	"1,709"	4.63%													
Caraga	"60,237"	"20,204"	33.54%	"12,098"	"1,133"	9.37%													
BARMM	"147,247"	"43,710"	29.68%	"71,146"	"4,202"	5.91%													
NIR	"101,625"	28046	27.60%	"41,070"	3516	8.56%													
"* - 0-12 months old (previous cohort)
?  - 0-12 months (previous cohort) minus previous FIC"																			
