"Annex B: Water Supply, Sanitation, and Hygiene (WASH)"																			
"B.1. Selected Environmental  Health and Sanitation Indicators, as of Q1 2025"																			
Area	Projected No. of House holds (HHs)	HHs using Safely Managed Sanitation Service	%	HHs using  Safely Managed Drinking  Water Services	%														
PHILIPPINES	"27,387,195"	"16,141,046"	58.04	"18,534,702"	80.37														
NCR	"3,636,431"	"2,783,381"	76.54	"3,211,881"	88.33														
CAR	"459,178"	"415,562"	90.50	"312,213"	67.99														
Region 1	"1,331,866"	"836,707"	62.82	"926,566"	69.57														
Region 2	934.497	"773,141"	82.73	"475,069"	50.84														
Region 3	"3,156,493"	"2,906,124"	92.07	"2,897,281"	91.79														
Region 4A	"4,222,648"	"3,026,619"	71.68	"3,261,993"	77.25														
Region 4B	"821,020"	"39,946"	4.87	"168,561"	20.53														
Region 5	"1,428,277"	"661,300"	46.30	"539,541"	37.78														
Region 6	"1,174,625"	"681,811"	58.04	"602,651"	51.31														
Region 7	"1,666,467"	"230,103"	13.81	"162,542"	9.75														
Region 8	"1,109,385"	"346,948"	31.27	"604,608"	54.50														
Region 9	"930,286"	"543,086"	58.38	"390,739"	42.00														
Region 10	"1,264,629"	"188,178"	14.88	"543,315"	42.96														
Region 11	"1,397,517"	"1,165,956"	83.43	"865,101"	61.90														
Region 12	"1,128,847"	"643,578"	57.01	"454,050"	40.22														
CARAGA	"686,431"	"37,173"	5.42	"385,700"	56.19														
BARMM	"858,092"	"78,799"	9.18	"139,532"	16.26														
NIR	"1,180,506"	"782,634"	66.30	"593,359"	50.26														
