"Annex B: Water, Sanitation, and Hygiene (WASH)"																			
"B.1   Selected Environmental Health and Sanitation Indicators, as of Q2 2025"																			
Area	Projected No. of Households (HHs)	HHs using Safely Managed Sanitation Service	%	HHs using Safely Managed Drinking Water Services	%														
PHILIPPINES	"27,387,196"	"15,899,774"	58.06%	"15,895,616"	58.04%														
NCR	"3,636,431"	"2,774,279"	76.29%	"2,363,526"	65.00%														
CAR	"459,178"	"418,886"	91.23%	"293,554"	63.93%														
Region 1	"1,331,866"	"409,935"	30.78%	"876,701"	65.83%														
Region 2	"934,497"	"782,309"	83.71%	"545,850"	58.41%														
Region 3	"3,156,493"	"2,882,192"	91.31%	"2,857,738"	90.54%														
Region 4A	"4,222,648"	"3,006,455"	71.20%	"3,320,544"	78.64%														
Region 4B	"821,020"	"63,126"	7.69%	"142,473"	17.35%														
Region 5	"1,428,277"	"755,233"	52.88%	"599,000"	41.94%														
Region 6	"1,174,625"	"777,122"	66.16%	"637,167"	54.24%														
Region 7	"1,666,467"	"185,102"	11.11%	"138,284"	8.30%														
Region 8	"1,109,385"	"329,410"	29.69%	"609,428"	54.93%														
Reg¡on 9	"930,286"	"592,775"	63.72%	"468,876"	50.40%														
Region 10	"1,264,629"	"162,058"	12.81%	"533,375"	42.18%														
Region 11	"1,397,517"	"1,160,872"	83.07%	"857,473"	61.36%														
Region 12	"1,128,847"	"675,453"	59.84%	"511,220"	45.29%														
Caraga	"686,431"	"40,086"	5.84%	"380,513"	55.43%														
BARMM	"858,092"	"103,854"	12.10%	"143,968"	16.78%														
NIR	"1,180,506"	"780,627"	65.13%	"615,926"	52.17%														
