Annex D. Non Communicable Diseases																			
D.1. Identified Hypertensive Adults with Access to Antihypertensive Medication (as of March 2025)																			
Area	Identified Hypertensive Adults	With Access to Antihypertensive Medication																	
		Total		Provided by Facility	Out of Pocket														
		No.	%																
PHILIPPINES	"573,449"	"258,443"	45.08	"211,652"	"46,891"														
NCR	"95,729"	"13,269"	13.86	"13,238"	31														
CAR	"13,729"	"4,796"	34.93	"4,199"	597														
Region 1	"16,578"	"16,344"	98.59	"14,997"	"1,347"														
Region 2	"62,122"	"58,719"	94.52	"53,869"	"4,850"														
Region 3	"84,723"	"53,493"	63.14	"42,902"	"10,591"														
Region 4A	"88,588"	"29,790"	33.63	"18,313"	"11,477"														
Region 4B	"5,413"	"1,057"	19.53	892	165														
Reg¡on 5	"21,789"	"6,599"	30.29	"4,674"	"1,925"														
Region 6	"58,698"	"10,619"	18.09	"10,533"	86														
Region 7	"16,559"	"6,496"	39.23	"4,642"	"1,854"														
Region 8	"18,325"	"17,291"	94.36	"11,631"	"5,660"														
Region 9	"9,391"	"3,440"	36.63	"3,030"	410														
Region 10	"12,273"	"5,518"	44.96	"4,939"	579														
Region 11	"36,412"	"13,055"	35.85	"8,767"	"4,288"														
Region 12	"10,578"	"3,647"	34.48	"3,157"	490														
Caraga	"11,916"	"10,414"	87.40	"8,155"	"2,259"														
BARMM	0	"1,631"	0.00	"1,595"	36														
NIR	"10,626"	"2,365"	22.26	"2,119"	246														
Data for other geographic disaggregation. https://bit.ly/FHSlSPHSannualreports																			
