D.2. Identified  Hypertensive  Senior Citizens with Access to Antihypertensive Medication (as of Q2 2025)																			
Areas	Identified Hypertensive Adults	With Acess to Antihypertensive Medication																	
		Total		Provided by Facility	Out of Pocket														
		No.	%																
Philippines	"825,389"	"256,914"	32.22%	"210,421"	"55,403"														
NCR	"169,194"	"15,411"	9.11%	"14,474"	937														
CAR	"25,788"	"6,650"	25.79%	"5,482"	"1,168"														
Region 1	"40,218"	"27,589"	68.60%	"23,177"	"4,412"														
Region 2	"73,004"	"49,800"	68.22%	"44,346"	"5,454"														
Region 3	"134,965"	"65,914"	48.84%	"47,453"	"18,461"														
Region 4A	"21,275"	"6,596"	31.00%	"4,058"	"2,538"														
Region 4B	"7,733"	"3,358"	43.42%	"2,821"	537														
Region 5	"41,841"	"10,753"	25.70%	"6,984"	"3,769"														
Region 6	"93,919"	"7,931"	8.44%	"6,054"	"1,877"														
Region 7	"27,636"	"9,831"	35.57%	"7,504"	"2,327"														
Region 8	"39,771"	"18,869"	47.44%	"17,369"	"1,500"														
Reg¡on 9	"13,839"	"3,702"	26.75%	"2,859"	843														
Region 10	"22,903"	"6,618"	28.90%	"5,247"	"1,371"														
Region 11	"53,433"	"9,699"	18.15%	"5,031"	"4,668"														
Region 12	"17,346"	"3,756"	21.65%	"3,114"	642														
Caraga	"21,982"	"15,396"	70.04%	"11,159"	"4,237"														
BARMM	0	"1,492"	0.00%	"1,475"	19														
NIR	"20,552"	"2,549"	12.40%	"1,816"	733														
