Annex D. Non Communicable Diseases																			
D.1. Identified Hypertensive Adults with Access to Antihypertensive Medication (as of Q2 2025)																			
Areas	Identified Hypertensive Adults	With Acess to Antihypertensive Medication																	
		Total		Provided by Facility	Out of Pocket														
		No.	%																
Philippines	"1,061,505"	"383,158"	36.10%	"293,687"	"89,471"														
NCR	"140,275"	"13,432"	9.58%	"12,530"	902														
CAR	"23,189"	"8,500"	36.66%	"7,463"	"1,037"														
Region 1	"48,990"	"31,951"	65.22%	"27,631"	"4,320"														
Region 2	"103,909"	"70,361"	67.71%	"62,814"	"7,547"														
Region 3	"164,466"	"80,236"	48.79%	"58,026"	"22,210"														
Region 4A	"158,955"	"71,487"	44.97%	"43,936"	"27,551"														
Region 4B	"9,453"	"3,876"	41.00%	"3,410"	466														
Region 5	"53,136"	"11,704"	22.03%	"7,814"	"3,890"														
Region 6	"105,096"	"11,337"	10.79%	"9,583"	"1,754"														
Region 7	"30,165"	"8,869"	29.40%	"6,395"	"2,474"														
Region 8	"33,848"	"14,223"	42.02%	"12,601"	"1,622"														
Region 9	"20,828"	"5,253"	25.22%	"4,195"	"1,058"														
Region 10	"27,608"	"9,406"	34.07%	"7,764"	"1,642"														
Region 11	"64,493"	"13,308"	20.63%	"7,180"	"6,128"														
Region 12	"22,585"	"4,369"	19.34%	"3,366"	"1,003"														
Caraga	"33,361"	"18,643"	55.88%	"13,499"	"5,144"														
BARMM	0	3443	0.00%	3385	58														
NIR	"21,148"	"2,760"	13.05%	"2,095"	665														
Data for other geographic disaggregation: hftps.//bit.ly/FHSlSPHSannualreports																			
