																			
D.3. Adults Identified with Type II Diabetes Mellitus with Access to Antidiabetic  Medication (as of Q2 2025)																			
Areas	Adults Identified with Type II Diabetes	With Acess to Antidiabetic Medication																	
		Total		Provided by Facility	Out of Pocket														
		No.	%																
Philippines	"282,890"	"88,593"	0.329	"62,253"	"14,940"														
NCR	"48,949"	"4,672"	9.54%	"4,131"	541														
CAR	"3,480"	909	26.12%	760	149														
Region1	"11,905"	"7,598"	63.82%	"6,588"	"1,010"														
Region 2	"14,953"	"9,938"	66.46%	"8,740"	"1,198"														
Ragion 3	"53,833"	"26,974"	50.11%	"18,869"	"8,105"														
Region 4A	"46,640"	"15,983"	34.27%	"8,302"	"7,681"														
Ragion4B	"1,973"	"1,183"	59.96%	701	482														
Region 5	"5,504"	"1,643"	29.85%	"1,112"	531														
Region6	"20,487"	"1,427"	6.97%	697	730														
Region 7	"4,151"	"1,420"	34.21%	954	466														
Region 8	"7,323"	"3,037"	41.47%	"2,837"	200														
Region 9	"3,161"	658	20.82%	534	124														
Region 10	"6,495"	"2,086"	32.12%	"1,704"	382														
Region 11	"17,663"	"2,603"	14.74%	"1,412"	"1,191"														
Region 12	"4,098"	829	20.23%	616	213														
Caraga	"8,054"	"4,420"	54.88%	"3,182"	"1,238"														
BARMM	0	742	0.00%	738	4														
NIR	"4,221"	471	11.16%	376	95														
Oafa for other geographic disaggregation: https://bit.Iy/FHSlSPHSannualreports																			
																			
																			
																			
																			
