D.5. Identified Hypertensives and With Access to Antihypertensive Medication (Q1) (as of Q1 2025)																			
Areas	Identified Hypertensive Adults	Access toMedication		Identified Hypertensive Adults	Access toMedication														
		Total			Total														
		No.	%		No.	%													
Phlllpplnes	"573,448"	"258,543"	46.09%	472499	"192,756"	40.80%													
NCR	"95,729"	"13,269"	13.86%	"117,383"	"16,198"	13.80%													
CAR	"13,729"	"4,796"	34.93%	"15,989"	"5,979"	37.39%													
Region 1	"16,578"	"16,344"	98.59%	"16,687"	"16,600"	99.48%													
Region 2	"62,122"	"58,719"	94.52%	"42,259"	"29,871"	70.69%													
Region 3	"84,723"	"53,493"	63.14%	"68,252"	"41,391"	60.64%													
Region 4A	"88,588"	"29,790"	33.63%	"12,530"	"4,268"	34.06%													
Region 4B	"5,413"	"1,057"	19.53%	4.244	"1,134"	26.72%													
Region 5	"21,789"	"6,599"	30.29%	"18,375"	"5,572"	30.32%													
Region 6	"58,698"	"10,619"	18.09%	"59,389"	"11,614"	19.56%													
Region 7	"16,559"	"6,496"	39.23%	"13,637"	"6,143"	45.05%													
Region 8	"18,325"	"17,291"	94.36%	"22,438"	"21,490"	95.78%													
Region 9	"9,391"	"3,440"	36.63%	"6,920"	"2,891"	41.78%													
Region 10	"12,273"	"5,518"	44.96%	"11,309"	"4,597"	40.65%													
Region 11	"36,412"	"13,055"	35.85%	"31,648"	"9,241"	29.20%													
Region 12	"10,578"	"3,647"	34.48%	"8,447"	"3,059"	36.21%													
Caraga	"11,916"	"10,414"	87.40%	"12,316"	"9,750"	79.17%													
BARMM	0	1631	0.00%	0	398	0.00%													
NIR	"10,626"	"2,365"	22.26%	"10,676"	"2,560"	23.98%													
