D.2.  Identified  Hypertensive  Senior  Citizens  with  Access  to  Antihypertensive Medication  (as  of March 2025)																			
Area	Identified Hypertensive Adults	With Access to Antihypertensive Medication																	
		Total		Provided by Facility	Out of Pocket														
		No.	%																
PHILIPPINES	472499	192756	40.8	156990	35766														
NCR	"117,383"	"16,198"	13.80	"16,182"	16														
CAR	"15,989"	"5,979"	37.39	"5,271"	708														
Region 1	"16,687"	"16,600"	99.48	"15,189"	"1,411"														
Region 2	"42,259"	"29,871"	70.69	"27,397"	"2,474"														
Region 3	"68,252"	"41,391"	60.64	"30,014"	"11,377"														
Region 4A	"12,530"	"4,268"	34.06	"2,627"	"1,641"														
Region 4B	"4,244"	"1,134"	26.72	938	196														
Region S	"18,375"	"5,572"	30.32	"3,852"	"1,720"														
Region 6	"59,389"	"11,614"	19.56	"11,424"	190														
Region 7	"13,637"	"6,143"	45.05	"4,559"	"1,584"														
Region 8	"22,438"	"21,490"	95.78	"14,402"	"7,088"														
Region 9	"6,920"	"2,891"	41.78	"2,452"	439														
Region 10	"11,309"	"4,597"	40.65	"3,926"	671														
Region 11	"31,648"	"9,241"	29.20	"6,087"	"3,154"														
Region 12	"8,447"	"3,059"	36.21	"2,604"	455														
Caraga	"12,316"	"9,750"	79.17	"7,505"	"2,245"														
BARMM	0	398	0.00	397	1														
NIR	"10,676"	"2,560"	23.98	"2,164"	396														
Data for other geographic disaggregation. https://bit.ly/FHSlSPHSannualreports																			
